iter	Passed	Remaining
0	56	56011
1	56	28277
2	57	19025
3	57	14414
4	58	11673
5	59	9809
6	59	8482
7	60	7479
8	60	6706
9	61	6088
10	62	5578
11	62	5152
12	63	4791
13	63	4486
14	64	4223
15	64	3992
16	65	3785
17	66	3601
18	66	3435
19	67	3287
20	67	3153
21	68	3037
22	68	2927
23	69	2826
24	70	2736
25	70	2650
26	71	2568
27	71	2492
28	72	2421
29	72	2354
30	73	2292
31	73	2232
32	74	2179
33	74	2129
34	75	2081
35	75	2035
36	76	1991
37	77	1949
38	77	1911
39	78	1873
40	78	1838
41	79	1805
42	79	1773
43	80	1742
44	80	1713
45	81	1684
46	81	1657
47	82	1631
48	82	1606
49	83	1581
50	83	1559
51	84	1538
52	84	1516
53	85	1494
54	85	1474
55	86	1456
56	86	1437
57	87	1422
58	88	1406
59	88	1390
60	89	1374
61	89	1359
62	90	1344
63	90	1329
64	91	1314
65	91	1301
66	92	1287
67	93	1275
68	93	1262
69	94	1250
70	94	1239
71	95	1226
72	95	1214
73	96	1203
74	96	1193
75	97	1183
76	97	1172
77	98	1163
78	98	1153
79	99	1143
80	100	1134
81	100	1125
82	101	1116
83	101	1108
84	102	1099
85	102	1091
86	103	1084
87	103	1076
88	104	1068
89	105	1062
90	105	1054
91	106	1047
92	106	1040
93	107	1033
94	107	1026
95	108	1020
96	108	1013
97	109	1007
98	109	1000
99	110	994
100	111	988
101	111	981
102	112	976
103	112	970
104	113	964
105	113	958
106	114	953
107	114	947
108	115	942
109	115	937
110	116	932
111	116	927
112	117	922
113	118	917
114	118	912
115	119	908
116	119	903
117	120	899
118	120	894
119	121	890
120	121	885
121	122	881
122	123	877
123	123	872
124	124	869
125	124	865
126	125	861
127	125	857
128	126	853
129	126	849
130	127	845
131	128	841
132	128	838
133	129	834
134	129	830
135	130	827
136	130	824
137	131	820
138	132	817
139	132	814
140	133	811
141	133	807
142	134	803
143	134	800
144	135	797
145	135	794
146	136	791
147	136	788
148	137	784
149	137	781
150	138	778
151	138	775
152	139	772
153	140	769
154	140	766
155	141	763
156	141	760
157	142	757
158	142	755
159	143	752
160	143	750
161	144	747
162	145	745
163	145	742
164	146	740
165	146	737
166	147	735
167	147	732
168	148	729
169	148	727
170	149	724
171	150	722
172	150	720
173	151	717
174	151	715
175	152	712
176	152	710
177	153	708
178	153	705
179	154	703
180	155	701
181	155	699
182	156	696
183	156	694
184	157	692
185	157	689
186	158	687
187	158	685
188	159	683
189	159	681
190	160	679
191	160	676
192	161	674
193	161	672
194	162	670
195	162	668
196	163	666
197	164	664
198	164	662
199	165	660
200	165	658
201	166	656
202	166	654
203	167	652
204	167	651
205	168	649
206	168	647
207	169	645
208	170	643
209	170	641
210	171	639
211	171	638
212	172	636
213	172	634
214	173	632
215	173	631
216	174	629
217	174	627
218	175	626
219	176	624
220	176	622
221	177	621
222	177	619
223	178	617
224	178	616
225	179	614
226	179	612
227	180	611
228	180	609
229	181	607
230	182	606
231	182	604
232	183	603
233	183	601
234	184	599
235	184	598
236	185	596
237	185	595
238	186	594
239	187	592
240	187	590
241	188	589
242	188	587
243	189	585
244	189	584
245	190	583
246	190	581
247	191	580
248	191	578
249	192	576
250	192	575
251	193	574
252	193	572
253	194	571
254	195	570
255	195	568
256	196	567
257	196	566
258	197	564
259	198	563
260	198	562
261	199	560
262	199	559
263	200	558
264	200	557
265	201	555
266	201	554
267	202	553
268	203	551
269	203	550
270	204	549
271	204	548
272	205	546
273	205	545
274	206	544
275	206	542
276	207	541
277	208	540
278	208	539
279	209	537
280	209	536
281	210	535
282	210	534
283	211	533
284	212	532
285	212	530
286	213	529
287	213	528
288	214	527
289	215	526
290	215	525
291	216	524
292	216	523
293	217	522
294	218	521
295	218	519
296	219	518
297	219	517
298	220	516
299	220	515
300	221	513
301	221	512
302	222	511
303	223	510
304	223	509
305	224	508
306	224	507
307	225	506
308	225	505
309	226	504
310	227	503
311	227	501
312	228	500
313	228	499
314	229	498
315	229	497
316	230	496
317	231	495
318	231	494
319	232	493
320	232	491
321	233	490
322	233	489
323	234	488
324	234	487
325	235	486
326	235	485
327	236	484
328	236	483
329	237	482
330	237	481
331	238	479
332	239	478
333	239	477
334	240	477
335	240	476
336	241	475
337	242	474
338	242	473
339	243	472
340	243	471
341	244	470
342	244	469
343	245	468
344	245	466
345	246	466
346	247	465
347	247	464
348	248	463
349	249	462
350	249	461
351	250	460
352	250	459
353	251	458
354	251	457
355	252	456
356	253	455
357	253	454
358	254	453
359	254	452
360	255	451
361	255	450
362	256	450
363	257	449
364	257	448
365	258	447
366	258	446
367	259	445
368	259	444
369	260	443
370	261	442
371	261	441
372	262	440
373	262	440
374	263	439
375	264	438
376	264	437
377	265	436
378	265	435
379	266	434
380	267	433
381	267	432
382	268	432
383	268	431
384	269	430
385	269	429
386	270	428
387	271	427
388	271	426
389	272	425
390	272	424
391	273	424
392	273	423
393	274	422
394	274	421
395	275	420
396	276	419
397	276	418
398	277	417
399	277	416
400	278	415
