feature,coefficient,abs_coefficient,selected
net_rtg_L3_diff,0.1986624951269922,0.1986624951269922,True
win_streak_diff,0.1418182869494285,0.1418182869494285,True
off_def_synergy,0.07961097716596854,0.07961097716596854,True
rest_x_home_b2b,0.07885135059744397,0.07885135059744397,True
3pa_rate_L3_diff,0.07868195154314159,0.07868195154314159,True
is_b2b_away,-0.03871434734986917,0.03871434734986917,True
off_rtg_L3_diff,0.03842180443191377,0.03842180443191377,True
to_pct_L3_diff,-0.03678064951707968,0.03678064951707968,True
rest_advantage,0.03440784316583634,0.03440784316583634,True
efg_x_ast,-0.028669154433001595,0.028669154433001595,True
is_b2b_home,0.02820763612971024,0.02820763612971024,True
consistency_x_quality,-0.01880914263296635,0.01880914263296635,True
oreb_x_efg,-0.004336388605265215,0.004336388605265215,True
stl_pct_L3_diff,0.0,0.0,False
efg_pct_L3_diff,0.0,0.0,False
off_efficiency_x_to,0.0,0.0,False
ft_rate_x_quality,0.0,0.0,False
rim_protection_x_def,0.0,0.0,False
defense_disruption,0.0,0.0,False
form_x_net_rtg,0.0,0.0,False
form_x_streak,0.0,0.0,False
3p_efficiency_x_volume,0.0,0.0,False
blk_pct_L3_diff,0.0,0.0,False
rest_x_away_b2b,0.0,0.0,False
3p_pct_L3_diff,0.0,0.0,False
win_pct_L3_diff,0.0,0.0,False
ft_rate_L3_diff,0.0,0.0,False
def_rtg_L3_diff,0.0,0.0,False
oreb_pct_L3_diff,0.0,0.0,False
ast_ratio_L3_diff,0.0,0.0,False
pts_std_L3_diff,0.0,0.0,False
double_b2b,0.0,0.0,False
